Valor optimo: ,4468680919.0

Variable,t:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
x_l_i_t
x_0_0_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
x_1_0_t,,30.0,319.0,266.0,298.0,297.0,230.0,245.0,371.0,267.0,368.0,280.0,305.0,292.0,259.0,272.0,229.0,388.0,204.0,267.0,266.0,305.0,373.0,299.0,304.0,301.0,282.0,363.0,365.0,0.0,0.0
x_2_0_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
x_3_0_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
x_4_0_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
x_5_0_t,,-0.0,33.0,220.0,301.0,301.0,271.0,286.0,269.0,318.0,293.0,295.0,333.0,280.0,257.0,301.0,377.0,275.0,272.0,246.0,305.0,316.0,255.0,308.0,330.0,276.0,287.0,246.0,394.0,0.0,0.0
x_6_0_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
x_7_0_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
x_8_0_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
x_9_0_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
x_0_1_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
x_1_1_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
x_2_1_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
x_3_1_t,,-0.0,-0.0,223.0,237.0,330.0,202.0,292.0,251.0,335.0,283.0,274.0,331.0,268.0,325.0,247.0,245.0,280.0,287.0,303.0,273.0,263.0,314.0,292.0,334.0,282.0,275.0,310.0,336.0,0.0,0.0
x_4_1_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
x_5_1_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
x_6_1_t,,-0.0,-0.0,315.0,221.0,244.0,294.0,300.0,262.0,207.0,213.0,311.0,372.0,241.0,276.0,285.0,300.0,255.0,300.0,256.0,288.0,341.0,313.0,310.0,341.0,239.0,337.0,319.0,265.0,0.0,0.0
x_7_1_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
x_8_1_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
x_9_1_t,,-0.0,365.0,328.0,321.0,341.0,354.0,262.0,311.0,216.0,269.0,255.0,318.0,294.0,320.0,292.0,227.0,301.0,217.0,362.0,301.0,253.0,302.0,244.0,308.0,281.0,281.0,232.0,273.0,0.0,0.0
x_0_2_t,,-0.0,52.0,276.0,258.0,369.0,293.0,353.0,394.0,364.0,280.0,312.0,331.0,374.0,273.0,373.0,327.0,217.0,257.0,367.0,345.0,297.0,226.0,277.0,347.0,266.0,256.0,381.0,283.0,0.0,0.0
x_1_2_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
x_2_2_t,,-0.0,-0.0,235.0,221.0,312.0,285.0,273.0,283.0,296.0,278.0,371.0,302.0,303.0,314.0,343.0,273.0,284.0,296.0,322.0,257.0,322.0,278.0,277.0,339.0,267.0,344.0,255.0,343.0,0.0,0.0
x_3_2_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
x_4_2_t,,-0.0,138.0,303.0,302.0,339.0,261.0,309.0,377.0,240.0,373.0,207.0,202.0,331.0,294.0,300.0,279.0,280.0,335.0,332.0,258.0,347.0,219.0,230.0,281.0,322.0,275.0,246.0,329.0,0.0,0.0
x_5_2_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
x_6_2_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
x_7_2_t,,-0.0,119.0,221.0,292.0,222.0,355.0,316.0,337.0,281.0,239.0,305.0,251.0,268.0,298.0,257.0,285.0,293.0,305.0,329.0,331.0,242.0,325.0,311.0,329.0,253.0,354.0,386.0,301.0,0.0,0.0
x_8_2_t,,-0.0,199.0,297.0,385.0,268.0,325.0,260.0,343.0,381.0,305.0,228.0,335.0,253.0,312.0,294.0,270.0,239.0,288.0,297.0,282.0,245.0,310.0,292.0,350.0,378.0,264.0,386.0,256.0,0.0,0.0
x_9_2_t,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
y_l_i_k_t
y_0_0_0_t,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y_1_0_0_t,,0.0,0.0,30.0,319.0,266.0,298.0,297.0,230.0,245.0,371.0,267.0,368.0,280.0,305.0,292.0,259.0,272.0,229.0,388.0,204.0,267.0,266.0,305.0,373.0,299.0,304.0,301.0,282.0,363.0,365.0
y_2_0_0_t,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y_3_0_0_t,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y_4_0_0_t,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y_5_0_0_t,,0.0,0.0,0.0,33.0,220.0,301.0,301.0,271.0,286.0,269.0,318.0,293.0,295.0,333.0,280.0,257.0,301.0,377.0,275.0,272.0,246.0,305.0,316.0,255.0,308.0,330.0,276.0,287.0,246.0,394.0
y_6_0_0_t,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
